epoch,itter,loss_current,loss_average,running_loss
0,1,0.6361629962921143,0.6361629962921143,0.6361629962921143
0,1,0.6771581172943115,0.6771581172943115,0.6771581172943115
0,1,0.6834719181060791,0.6834719181060791,0.6834719181060791
1,5,0.7304307222366333,0.7042240858078003,3.5211204290390015
2,9,0.7956871390342712,0.732669989267985,6.594029903411865
3,13,0.8715686798095703,0.7659851220937876,9.957806587219238
4,17,0.9522596597671509,0.8025839258642757,13.643926739692688
5,21,1.039153814315796,0.8412649886948722,17.666564762592316
6,25,1.1265392303466797,0.8815312266349793,22.03828066587448
7,29,1.2175735235214233,0.923185408115387,26.772376835346222
8,33,1.3110899925231934,0.9658055576411161,31.87158340215683
9,37,1.4003326892852783,1.009051240779258,37.33489590883255
10,41,1.5056710243225098,1.0540838866699032,43.217439353466034
11,45,1.6150617599487305,1.0996010369724698,49.48204666376114
12,49,1.7034416198730469,1.145675653097581,56.138107001781464
13,53,1.7992324829101562,1.1926795143001485,63.21201425790787
14,57,1.9189523458480835,1.2405167891268145,70.70945698022842
15,61,1.9913647174835205,1.2880173599133726,78.56905895471573
16,65,2.0832555294036865,1.335104290338663,86.78177887201309
17,69,2.159804582595825,1.3813432791958684,95.31268626451492
18,73,2.2363829612731934,1.4260371817301398,104.1007142663002
19,77,2.2981035709381104,1.4697263310481976,113.16892749071121
20,81,2.392742156982422,1.5130108558101418,122.55387932062149
21,85,2.4830398559570312,1.5574256791787988,132.3811827301979
22,89,2.564525604248047,1.6013421242156725,142.51944905519485
23,93,2.654670238494873,1.644539805509711,152.9422019124031
24,97,2.717759609222412,1.6878647859563534,163.72288423776627
25,101,2.805616617202759,1.731217887732062,174.85300666093826
26,105,2.8775274753570557,1.7739687630108425,186.26672011613846
27,109,2.9530577659606934,1.8158933837479407,197.93237882852554
28,113,2.9908785820007324,1.857242445502661,209.8683963418007
29,117,3.065058946609497,1.8979477133506384,222.0598824620247
30,121,3.1085660457611084,1.9369999795905815,234.37699753046036
31,125,3.1743805408477783,1.975767538547516,246.97094231843948
32,129,3.226168155670166,2.013569227946821,259.7504304051399
33,133,3.2927134037017822,2.0507100726428784,272.74443966150284
34,137,3.3482630252838135,2.087724936704566,286.01831632852554
35,141,3.423330783843994,2.124303307516355,299.52676635980606
36,145,3.4552319049835205,2.1607856129777843,313.3139138817787
37,149,3.5200467109680176,2.1967222550571366,327.31161600351334
38,153,3.5516762733459473,2.231733567184872,341.45523577928543
39,157,3.609811782836914,2.2665630757429036,355.8504028916359
40,161,3.653252601623535,2.300704198224204,370.41337591409683
41,165,3.7077713012695312,2.334731321985071,385.2306681275368
42,169,3.7828516960144043,2.367902978990205,400.17560344934464
43,173,3.8297581672668457,2.4014892995012977,415.4576488137245
44,177,3.8786206245422363,2.4341078562251592,430.8370905518532
45,181,3.8641815185546875,2.4656326853109327,446.27951604127884
46,185,3.850956678390503,2.4961869771416123,461.7945907711983
47,189,3.9334518909454346,2.5258959389868236,477.3943324685097
48,193,3.9768528938293457,2.5552863003058754,493.17025595903397
49,197,4.053636074066162,2.5851842803398366,509.2813032269478
50,201,4.073329448699951,2.614614772855939,525.5375693440437
51,205,4.103430271148682,2.6437172229697063,541.9620307087898
52,209,4.1658735275268555,2.672296915613293,558.5100553631783
53,213,4.201289653778076,2.7010967756660893,575.333613216877
54,217,4.232270240783691,2.7289358495567253,592.1790793538094
55,221,4.241909980773926,2.7566705238225775,609.2241857647896
56,225,4.2333598136901855,2.783309420744578,626.2446196675301
57,229,4.254136085510254,2.809308255343458,643.3315904736519
58,233,4.362488269805908,2.8349334479913177,660.5394933819771
59,237,4.387507915496826,2.8611915637169205,678.1024006009102
60,241,4.453906536102295,2.887684627439966,695.9319952130318
61,245,4.483236312866211,2.9138624222911136,713.8962934613228
62,249,4.5204386711120605,2.939503399004419,731.9363463521004
63,253,4.484899044036865,2.9643684236899666,749.9852111935616
64,257,4.545036315917969,2.988705853311932,768.0974043011665
65,261,4.564669132232666,3.0128254792242672,786.3474500775337
66,265,4.642184734344482,3.0370917007608234,804.8293007016182
67,269,4.67788028717041,3.0605830164647014,823.2968314290047
68,273,4.709477424621582,3.0844493342406585,842.0546682476997
69,277,4.766366958618164,3.1084442493717592,861.0390570759773
70,281,4.789065361022949,3.1321128434982164,880.1237090229988
71,285,4.812364101409912,3.1551611710013003,899.2209337353706
72,289,4.84047794342041,3.1782646140012774,918.5184734463692
73,293,4.870070934295654,3.201449470105025,938.0246947407722
74,297,4.941869258880615,3.224640747714123,957.7183020710945
75,301,4.9467926025390625,3.2471087883873238,977.3797453045845
76,305,4.935367584228516,3.2694571176513296,997.1844208836555
77,309,4.975992202758789,3.2914049349556462,1017.0441249012947
78,313,5.002812385559082,3.31326567650603,1037.0521567463875
79,317,5.033379077911377,3.33512776375569,1057.2355011105537
80,321,5.0920233726501465,3.3566376169522605,1077.4806750416756
81,325,5.099157810211182,3.377986825246077,1097.8457182049751
82,329,5.176736831665039,3.3993793180648315,1118.3957956433296
83,333,5.188419342041016,3.4206163627249344,1139.065248787403
84,337,5.182005882263184,3.4415627114850618,1159.8066337704659
85,341,5.201601982116699,3.4625390011194512,1180.725799381733
86,345,5.147675037384033,3.4827254801556684,1201.5402906537056
87,349,5.176289081573486,3.5022510575360077,1222.2856190800667
88,353,5.21523380279541,3.5216275998958446,1243.1345427632332
89,357,5.280971050262451,3.540903953777976,1264.1027114987373
90,361,5.32485818862915,3.5602399340296715,1285.2466161847115
91,365,5.2739763259887695,3.5792422812278955,1306.423432648182
92,369,5.347060203552246,3.598126051710227,1327.7085130810738
93,373,5.371827125549316,3.6169588720830452,1349.1256592869759
94,377,5.39668083190918,3.635801561473219,1370.6971886754036
95,381,5.431752681732178,3.6543211444156376,1392.296356022358
96,385,5.41385555267334,3.6724937657257177,1413.9100998044014
97,389,5.398298740386963,3.6903148465107525,1435.5324752926826
98,393,5.396920680999756,3.7078536067906835,1457.1864674687386
99,397,5.465854644775391,3.7254872113391193,1479.0184229016304
